athlete,country,Giant_s_Medley,Max_Axle_Press,Keg_Toss,Conan_s_Wheel,Tire_Deadlift,Atlas_Stones
T. Stoltman,GBR,41.26 s,210 kg,7.76 m,777 °,7 reps,5 in 38.14 s
M. Hooper,CAN,34.59 m,210 kg,7.76 m,821 °,6 reps,4 in 37.35 s
E. Singleton,USA,30.21 s,190 kg,7.5 m,598 °,5 reps,3 in 24.09 s
M. Ragg,NZL,28.9 m,170 kg,7 m,748 °,8 reps,4 in 49.93 s
T. Hoath,CAN,35.54 m,180 kg,6 m,643 °,7 reps,4 in 43.79 s
W. Derwinsky,CAN,59.20 s,(No lift),7.76 m,681 °,6 reps,3 in 30.80 s
A. Andrade,MEX,40.61 s,190 kg,6.5 m,526 °,6 reps,3 in 24.42 s
P. Kordiyaka,UKR,20.99 m,200 kg,-,922 °,1 rep,4 in 44.58 s
L. Stoltman,GBR,27.43 m,190 kg,6.5 m,527 °,4 reps,3 in 36.09 s
A. Šmaukstelis,LAT,21.96 m,(No lift),7 m,486 °,3 reps,3 in 32.88 s
