group,athlete,country,Carry,Overhead,Squat,Truck,Stones
1,R. Nel,RSA,1,18,8,4,1
1,N. Guardione,USA,T9,11,T22,12,9
1,L. Richardson,GBR,21,13,T2,18,20
1,B. Glasscock,GBR,22,8,T14,22,15
1,T. Hoath,CAN,14,25,T20,23,10
2,A. Andrade,MEX,19,6,T2,2,14
2,M. Ragg,NZL,4,15,T4,17,17
2,J. Schoonwinkel,RSA,6,24,T14,T13,5
2,T. Stoltman,GBR,23,12,T9,10,16
2,L. Strong,USA,17,22,24,3,19
3,M. Hooper,CAN,7,4,T9,1,2
3,E. Williams,AUS,2,14,13,9,3
3,L. Hatton,USA,16,3,1,6,21
3,M. Funiok,CZE,15,16,T20,5,4
3,P. Haynes,GBR,13,17,T22,16,7
4,O. Fojtů,CZE,3,1,T14,T13,11
4,M. Licis,LAT,12,9,T6,8,12
4,J. Jeffers,CAN,T9,20,T18,15,18
4,B. Johnson,USA,8,19,17,DNS,DNS
4,K. Hazeleger,NED,11,23,25,DNS,DNS
5,P. Kordiyaka,UKR,24,7,T6,11,6
5,T. Mitchell,USA,25,2,T4,19,8
5,A. Flynn,GBR,18,10,T9,7,13
5,E. Singleton,USA,5,5,T18,21,22
5,E. Aryee,GHA,20,21,T9,20,DNS
